aa	w(ﾟДﾟ)w
aaa	Ｏ(≧口≦)Ｏ
ao	┗|｀O′|┛ 嗷~~
ao	ヾ(≧O≦)〃嗷~
ao	(>▽<)
axin	ლ(•̀ _ •́ ლ)
bai	(ㄏ￣▽￣)ㄏbyeㄟ(￣▽￣ㄟ)
bai	ヾ(￣▽￣)Bye~Bye~
baile	(o_ _)ﾉ
bang	(๑•̀ㅂ•́)و✧
baotou	▄︻┻┳═一…… ☆（>○<）
baoxiao	o(*≧▽≦)ツ
baoxiao	ヾ(≧▽≦*)o
bei	（；´д｀）ゞ
ben	(～￣(OO)￣)ブ
bendan	(っ*´Д`)っ
bengkui	o(≧口≦)o
benren	ヾ(´∀`o)+
biao	<(￣3￣)> 表！
bieju	(＞﹏＜)
biezou	_____λ......___丬 别走啊～～
biezui	(*￣︿￣)
bingo	(o゜▽゜)o☆[BINGO!]
bingzhang	(눈_눈)
biti	(￣ ‘i ￣;)
bizui	(⊙x⊙;)
bobo	(* ￣3)(ε￣ *)
buchi	( *^-^)ρ(*╯^╰)
budong	(＠_＠;)
buhaoyisi	o(￣┰￣*)ゞ
bukaixin	￣へ￣
bukan	(/▽＼)
buman	(*￣︿￣)
buman	（＃￣～￣＃）
bushiwo	ㄟ( ▔, ▔ )ㄏ
bushuang	(* ￣︿￣)
busong	₍₍ ◝(　ﾟ∀ ﾟ )◟⁾⁾不送
buxie	(￣_,￣ )
buxingl	(+.+)(-.-)(_ _) ..zzZZ もうだめ
buyaoa	ヽ（≧□≦）ノ
buyaoa	不＞(￣ε￣ = ￣3￣)<要
buzhidao	◐▽◑
ca	凸(艹皿艹 )
caizhidao	（*゜ー゜*）
cayanlei	(ノへ￣、)
ceng	( *￣▽￣)((≧︶≦*)
chayao	<)。(>
chidiao	ψ(｀∇´)ψ
chifan	(((((ヾ(　o=^•ェ•)o　┏━┓
chile	(*￣ω￣)
chongchu	___*( ￣皿￣)/#____
chou	┌|*´∀｀|┘
chou	(￣ε(#￣)☆╰╮o(￣皿￣///)
choumei	(o≖◡≖)
chouni	抽!!(￣ε(#￣)☆╰╮(￣▽￣///)
chouqi	(ノへ￣、)
chuai	<( ￣^￣)(θ(θ☆( >_<
chunku	(๐॔˃̶ᗜ˂̶๐॓)
chuolian	→)╥﹏╥)
dagai	(・-・*)
daheqian	(_ _)( - . - )(~O~) ……( - . - )
dai	━┳━　━┳━
daizhi	(￣△￣；)
daji	(。_。)
danding	━━(￣ー￣*|||━━
dangran	<(ˉ^ˉ)>
dao	Σ(っ °Д °;)っ
dengdeng	...(*￣０￣)ノ[等等我…]
dese	～(￣▽￣～)(～￣▽￣)～
dese	ʅ（´◔౪◔）ʃ
deyi	<(￣ˇ￣)/
deyi	<(￣︶￣)>
diantou	（￣ー￣（＿ ＿（￣ー￣（＿ ＿
die	(┬＿┬)↘
diedao	……]((o_ _)'彡☆
diluo	(#｀-_ゝ-)
ding	d=====(￣▽￣*)b
ditou	(。﹏。)
dou	o((⊙﹏⊙))o.
dui	＜（＾－＾）＞
duibuqi	（＞人＜；）
duibuqi	（。・＿・。）ﾉ
duzui	（○｀ 3′○）
duzui	o(￣ε￣*)
eee	-________-''
eee	(⊙﹏⊙)
enheng	（￣ー￣）ノ~~マ☆’.・.・:★
enna	嗯~ o(*￣▽￣*)o
fandui	(ﾟДﾟ*)ﾉ
fangpi	○|￣|_ =3
fangwochuqu	||Φ|(|T|Д|T|)|Φ||
fanxing	( ￣ ￣)σ…( ＿ ＿)ノ｜壁
fanzhuo	┻━┻︵╰(‵□′)╯︵┻━┻
fei	︿(￣︶￣)︿
feiwen	(*￣3￣)╭
fenlie	分＞(￣▽￣ = ￣︿￣)<裂
